regime1,regime2,n,phylometric,statistic,p,epoch,mut_distn
weak 4 niche ecology,plain,50,mean_pairwise_distance,606.0,0.7610682552125038,0,np.random.exponential
weak 4 niche ecology,plain,50,sum_distance,0.0,7.556929455863566e-10,0,np.random.exponential
weak 4 niche ecology,plain,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,0,np.random.exponential
8 niche ecology,4 niche ecology,50,colless_like_index,0.0,7.556929455863566e-10,0,np.random.standard_normal
8 niche ecology,4 niche ecology,50,mean_pairwise_distance,0.0,7.556929455863566e-10,0,np.random.standard_normal
8 niche ecology,4 niche ecology,50,sum_distance,0.0,7.556929455863566e-10,0,np.random.standard_normal
8 niche ecology,4 niche ecology,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,0,np.random.standard_normal
8 niche ecology,weak 4 niche ecology,50,colless_like_index,0.0,7.556929455863566e-10,0,np.random.standard_normal
8 niche ecology,weak 4 niche ecology,50,mean_pairwise_distance,0.0,7.556929455863566e-10,0,np.random.standard_normal
8 niche ecology,weak 4 niche ecology,50,sum_distance,0.0,7.556929455863566e-10,0,np.random.standard_normal
8 niche ecology,weak 4 niche ecology,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,0,np.random.standard_normal
plain,4 niche ecology,50,colless_like_index,0.0,7.556929455863566e-10,0,np.random.standard_normal
plain,4 niche ecology,50,mean_pairwise_distance,0.0,7.556929455863566e-10,0,np.random.standard_normal
plain,4 niche ecology,50,sum_distance,0.0,7.556929455863566e-10,0,np.random.standard_normal
plain,4 niche ecology,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,0,np.random.standard_normal
plain,8 niche ecology,50,colless_like_index,0.0,7.556929455863566e-10,0,np.random.standard_normal
plain,8 niche ecology,50,mean_pairwise_distance,0.0,7.556929455863566e-10,0,np.random.standard_normal
plain,8 niche ecology,50,sum_distance,0.0,7.556929455863566e-10,0,np.random.standard_normal
plain,8 niche ecology,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,0,np.random.standard_normal
plain,weak 4 niche ecology,50,colless_like_index,451.0,0.07180752515234809,0,np.random.standard_normal
plain,weak 4 niche ecology,50,mean_pairwise_distance,381.0,0.013283902663624031,0,np.random.standard_normal
plain,weak 4 niche ecology,50,sum_distance,0.0,7.556929455863566e-10,0,np.random.standard_normal
plain,weak 4 niche ecology,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,0,np.random.standard_normal
weak 4 niche ecology,4 niche ecology,50,colless_like_index,0.0,7.556929455863566e-10,0,np.random.standard_normal
weak 4 niche ecology,4 niche ecology,50,mean_pairwise_distance,0.0,7.556929455863566e-10,0,np.random.standard_normal
weak 4 niche ecology,4 niche ecology,50,sum_distance,0.0,7.556929455863566e-10,0,np.random.standard_normal
weak 4 niche ecology,4 niche ecology,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,0,np.random.standard_normal
4 niche ecology,weak 4 niche ecology,50,colless_like_index,2.0,8.53422673646545e-10,2,np.random.exponential
4 niche ecology,weak 4 niche ecology,50,mean_pairwise_distance,0.0,7.556929455863566e-10,2,np.random.exponential
4 niche ecology,weak 4 niche ecology,50,sum_distance,0.0,7.556929455863566e-10,2,np.random.exponential
4 niche ecology,weak 4 niche ecology,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,2,np.random.exponential
8 niche ecology,4 niche ecology,50,colless_like_index,3.0,9.06805772149548e-10,2,np.random.exponential
8 niche ecology,4 niche ecology,50,mean_pairwise_distance,0.0,7.556929455863566e-10,2,np.random.exponential
8 niche ecology,4 niche ecology,50,sum_distance,0.0,7.556929455863566e-10,2,np.random.exponential
8 niche ecology,4 niche ecology,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,2,np.random.exponential
8 niche ecology,weak 4 niche ecology,50,colless_like_index,0.0,7.556929455863566e-10,2,np.random.exponential
8 niche ecology,weak 4 niche ecology,50,mean_pairwise_distance,0.0,7.556929455863566e-10,2,np.random.exponential
8 niche ecology,weak 4 niche ecology,50,sum_distance,0.0,7.556929455863566e-10,2,np.random.exponential
8 niche ecology,weak 4 niche ecology,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,2,np.random.exponential
plain,4 niche ecology,50,colless_like_index,29.0,4.253518335686794e-09,2,np.random.exponential
plain,4 niche ecology,50,mean_pairwise_distance,1.0,8.031090907046913e-10,2,np.random.exponential
plain,4 niche ecology,50,sum_distance,0.0,7.556929455863566e-10,2,np.random.exponential
plain,4 niche ecology,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,2,np.random.exponential
plain,8 niche ecology,50,colless_like_index,0.0,7.556929455863566e-10,2,np.random.exponential
plain,8 niche ecology,50,mean_pairwise_distance,0.0,7.556929455863566e-10,2,np.random.exponential
