regime ,quality ,sensitivity_analysis_variables ,quartet_distance mean,quartet_distance median,quartet_distance std,quartet_distance max
neutral selection,33% resolution,epoch=0+mut_distn=np.random.exponential,0.043081747110334766,0.03175139914968165,0.041695652049181596,0.2168617363252581
neutral selection,33% resolution,epoch=0+mut_distn=np.random.standard_normal,0.0369349142828782,0.02708972957346925,0.03230958866776083,0.143469037015094
neutral selection,33% resolution,epoch=2+mut_distn=np.random.exponential,0.04503614966330627,0.03575041148453645,0.04200006697477548,0.2047772927740481
neutral selection,33% resolution,epoch=2+mut_distn=np.random.standard_normal,0.03862418911407175,0.02730947272848255,0.03814888587090353,0.197641751632895
neutral selection,33% resolution,epoch=7+mut_distn=np.random.exponential,0.0379977784994762,0.0269754773071929,0.0371124109531919,0.1509798915189993
neutral selection,33% resolution,epoch=7+mut_distn=np.random.standard_normal,0.039731259403358025,0.0334119789646625,0.03122918833899984,0.1272930032404643
plain,1% resolution,epoch=0+mut_distn=np.random.exponential,0.0009521724713606832,3.483187936091116e-06,0.004742156387851248,0.0322103676799007
plain,1% resolution,epoch=0+mut_distn=np.random.standard_normal,0.00021899413533215488,1.8311358834737442e-06,0.000786037446370728,0.0049278854784805
plain,1% resolution,epoch=2+mut_distn=np.random.exponential,0.000283471440035878,3.885333497501888e-06,0.0012019327012123269,0.0078848620956805
plain,1% resolution,epoch=2+mut_distn=np.random.standard_normal,9.575843296078654e-05,1.8254644379569564e-06,0.000550940930404344,0.0038978452669914
plain,1% resolution,epoch=7+mut_distn=np.random.exponential,0.00023150671733932187,2.4267231609701375e-06,0.0008626674053407498,0.00423613109164
plain,1% resolution,epoch=7+mut_distn=np.random.standard_normal,3.701146373821708e-05,3.029757988619756e-06,0.0001356345670256593,0.0009206377225344
plain,10% resolution,epoch=0+mut_distn=np.random.exponential,0.04093948170996445,0.021597428278125948,0.048393073927359566,0.2198387014349893
plain,10% resolution,epoch=0+mut_distn=np.random.standard_normal,0.037677273564581316,0.0302631026300495,0.030839318465020433,0.1298619950937483
plain,10% resolution,epoch=2+mut_distn=np.random.exponential,0.03774724510307118,0.0267129703110624,0.03221697049900044,0.1333895340804891
plain,10% resolution,epoch=2+mut_distn=np.random.standard_normal,0.03512366007843534,0.02494856764613755,0.03436188457382232,0.1819624187536181
plain,10% resolution,epoch=7+mut_distn=np.random.exponential,0.03019994723222194,0.02311194222162365,0.029172157445824094,0.1099936058067256
plain,10% resolution,epoch=7+mut_distn=np.random.standard_normal,0.04252972378635355,0.0335560317236714,0.0318846605418033,0.1355986251812021
plain,3% resolution,epoch=0+mut_distn=np.random.exponential,0.005861384135006404,3.90824643084666e-05,0.013767164316167379,0.062701432371385
plain,3% resolution,epoch=0+mut_distn=np.random.standard_normal,0.005444861488285706,0.0002668552130781,0.013332113951972528,0.0685201705177465
plain,3% resolution,epoch=2+mut_distn=np.random.exponential,0.0019464166648498376,2.0096874119993855e-05,0.0072493510118053685,0.0391828385755302
plain,3% resolution,epoch=2+mut_distn=np.random.standard_normal,0.0048177659372290235,9.976659661347281e-05,0.012958771059359546,0.0693601767774741
plain,3% resolution,epoch=7+mut_distn=np.random.exponential,0.004403753215211272,9.157432919326331e-05,0.012729786306334114,0.0725302318151815
plain,3% resolution,epoch=7+mut_distn=np.random.standard_normal,0.003047362918026363,0.00039466068641795,0.006723332991019344,0.0345581367537129
plain,33% resolution,epoch=0+mut_distn=np.random.exponential,0.12596757832189237,0.11293663730384021,0.06851012242705398,0.3464235883177312
plain,33% resolution,epoch=0+mut_distn=np.random.standard_normal,0.13263602212917203,0.1151411036880908,0.08340033317695845,0.3625088766825286
plain,33% resolution,epoch=2+mut_distn=np.random.exponential,0.14024353667085898,0.12493649470328415,0.07120480358192684,0.3720496092212978
plain,33% resolution,epoch=2+mut_distn=np.random.standard_normal,0.1390526329918285,0.1181354593725298,0.07740162566037179,0.3959661080024656
plain,33% resolution,epoch=7+mut_distn=np.random.exponential,0.12508755900228277,0.11503128129362891,0.07119229176163465,0.3357151491321953
plain,33% resolution,epoch=7+mut_distn=np.random.standard_normal,0.14298081487150005,0.11848203323904195,0.08485679705214254,0.4501187127070332
rich ecology,1% resolution,epoch=0+mut_distn=np.random.exponential,0.0014590290727847135,4.717253329052524e-06,0.009940057857703194,0.0703325609210244
rich ecology,1% resolution,epoch=0+mut_distn=np.random.standard_normal,0.0034332852517330926,1.6813048183198869e-06,0.011836678677638043,0.046885426647876
rich ecology,1% resolution,epoch=2+mut_distn=np.random.exponential,0.0006234934834055256,1.6203152121162782e-06,0.004140269511299337,0.0293045127148037
rich ecology,1% resolution,epoch=2+mut_distn=np.random.standard_normal,2.524174575236424e-05,2.098191454010771e-06,7.864380998840569e-05,0.0004952980368679
rich ecology,1% resolution,epoch=7+mut_distn=np.random.exponential,2.7063398341379465e-05,2.291103669397338e-06,8.26234452063447e-05,0.0004933277635286
rich ecology,1% resolution,epoch=7+mut_distn=np.random.standard_normal,6.021764896522325e-05,2.523325684892951e-06,0.00021664703562597294,0.0014310363027526
rich ecology,10% resolution,epoch=0+mut_distn=np.random.exponential,0.0028377486996790163,0.00129837626464715,0.0076838088408985525,0.0475097125708538
