regime ,quality ,sensitivity_analysis_variables ,triplet_distance mean,triplet_distance median,triplet_distance std,triplet_distance max
neutral selection,1% resolution,epoch=7+mut_distn=np.random.exponential,8.24112068425359e-05,4.658854405623715e-07,0.00025786088595536593,0.0013743829558539
neutral selection,1% resolution,epoch=7+mut_distn=np.random.standard_normal,0.0012775271794523391,2.2532832470494625e-06,0.005292675318105336,0.0341200740473804
neutral selection,10% resolution,epoch=0+mut_distn=np.random.exponential,0.02046138107591774,0.00239671249912815,0.04080623851633018,0.2176202993218065
neutral selection,10% resolution,epoch=0+mut_distn=np.random.standard_normal,0.01516673689631513,0.00144977600727395,0.037972054686189,0.1684132325681116
neutral selection,10% resolution,epoch=2+mut_distn=np.random.exponential,0.008539275177430524,0.0008859640407158501,0.0196556020517699,0.1150886016540294
neutral selection,10% resolution,epoch=2+mut_distn=np.random.standard_normal,0.013201682638322174,0.0012567019992994499,0.03101671290452376,0.1451534211962817
neutral selection,10% resolution,epoch=7+mut_distn=np.random.exponential,0.008099512021066797,0.00115118907760725,0.029576576726058554,0.2065815973184839
neutral selection,10% resolution,epoch=7+mut_distn=np.random.standard_normal,0.01073384306500767,0.0013218028522712,0.025821913453166468,0.171773807232282
neutral selection,3% resolution,epoch=0+mut_distn=np.random.exponential,0.009534473883578682,0.0001415986681353,0.03699962457727006,0.2169523484713214
neutral selection,3% resolution,epoch=0+mut_distn=np.random.standard_normal,0.004275275570742655,8.241219074554544e-05,0.015867209706532406,0.1036050392672125
neutral selection,3% resolution,epoch=2+mut_distn=np.random.exponential,0.0015787210917713455,5.008766676114244e-05,0.005154186418690736,0.03146569522047
neutral selection,3% resolution,epoch=2+mut_distn=np.random.standard_normal,0.003940334718360211,4.8491235475721665e-05,0.0170222011732047,0.117482213181128
neutral selection,3% resolution,epoch=7+mut_distn=np.random.exponential,0.0009520975979193279,0.00010933572621805,0.0034529024293928627,0.0235864640422677
neutral selection,3% resolution,epoch=7+mut_distn=np.random.standard_normal,0.001753958645677989,4.517005649450672e-05,0.005535832814334892,0.0344014602584799
neutral selection,33% resolution,epoch=0+mut_distn=np.random.exponential,0.07978694534582594,0.0355331508212891,0.08950462526816742,0.3565317889420058
neutral selection,33% resolution,epoch=0+mut_distn=np.random.standard_normal,0.08222869113171048,0.04276301920237405,0.0926075202047119,0.3364031839752375
neutral selection,33% resolution,epoch=2+mut_distn=np.random.exponential,0.036966651748688815,0.015905683722512498,0.04660777882977504,0.1908753067370649
neutral selection,33% resolution,epoch=2+mut_distn=np.random.standard_normal,0.04154951408599948,0.01259288107851855,0.06515281533221899,0.2817561127137081
neutral selection,33% resolution,epoch=7+mut_distn=np.random.exponential,0.039417181082370994,0.0115965369401802,0.05868080869162563,0.2096878077110564
neutral selection,33% resolution,epoch=7+mut_distn=np.random.standard_normal,0.04307105076270536,0.024859715743485,0.053821356605055756,0.2081936391851818
plain,1% resolution,epoch=0+mut_distn=np.random.exponential,0.0003958248140734399,8.860152148802417e-07,0.0020550107898122884,0.0139879753676223
plain,1% resolution,epoch=0+mut_distn=np.random.standard_normal,7.133119950486346e-05,4.6399263722189574e-07,0.00025773135549684364,0.0016242747292006
plain,1% resolution,epoch=2+mut_distn=np.random.exponential,0.00021818393255620345,1.0048159331525688e-06,0.0012436047878354763,0.0087429259082983
plain,1% resolution,epoch=2+mut_distn=np.random.standard_normal,3.582796630239571e-05,5.21009276730197e-07,0.0002042980604124347,0.0014442800829539
plain,1% resolution,epoch=7+mut_distn=np.random.exponential,7.776774484295241e-05,6.207232686655394e-07,0.0003027670179487681,0.0016729703608319
plain,1% resolution,epoch=7+mut_distn=np.random.standard_normal,1.0315241531847798e-05,7.711674087875376e-07,3.747500180021473e-05,0.0002531695861798
plain,10% resolution,epoch=0+mut_distn=np.random.exponential,0.037641843562778374,0.02319882950579215,0.050042752592737334,0.2515077396606269
plain,10% resolution,epoch=0+mut_distn=np.random.standard_normal,0.03802915388401315,0.022884188525956847,0.049019153443273226,0.2472685597813381
plain,10% resolution,epoch=2+mut_distn=np.random.exponential,0.040918030468684606,0.02267847631424935,0.04608723678576057,0.1967146236274986
plain,10% resolution,epoch=2+mut_distn=np.random.standard_normal,0.03740052127364352,0.0167759877152069,0.056998325980834555,0.3317107681075574
plain,10% resolution,epoch=7+mut_distn=np.random.exponential,0.043577359423982547,0.020493086317930252,0.055084991992287634,0.2129928497225302
plain,10% resolution,epoch=7+mut_distn=np.random.standard_normal,0.042966156599764,0.02684576383393025,0.041734718600943924,0.1703341213052818
plain,3% resolution,epoch=0+mut_distn=np.random.exponential,0.007481770104662659,2.9056239122648797e-05,0.0252135670441901,0.1711429327533072
