regime,quality,sensitivity_analysis_variables,quartet_distance,quartet_distance,quartet_distance,quartet_distance,quartet_distance,triplet_distance,triplet_distance,triplet_distance,triplet_distance,triplet_distance
,,,mean,std,max,min,kurt,mean,std,max,min,kurt
4 niche ecology,33% resolution,epoch=2+mut_distn=np.random.standard_normal,-2.1088678132041015e-14,1.3585911844830497e-16,-2.0861675343333023e-14,-2.131133497673241e-14,0.0,0.00018453500984302269,0.0013048595684124276,0.0092267504931847,-2.131154322685372e-14,50.00000000000003
4 niche ecology,33% resolution,epoch=7+mut_distn=np.random.exponential,-2.106789717189894e-14,1.4358971689897004e-16,-2.083516747912881e-14,-2.131076896771509e-14,0.0,-2.1068100669861834e-14,1.4359248554140424e-16,-2.083536652108611e-14,-2.131097719587485e-14,0.0
4 niche ecology,33% resolution,epoch=7+mut_distn=np.random.standard_normal,-2.1099340916749147e-14,1.4971407374742918e-16,-2.0831721569869824e-14,-2.1315539201597096e-14,0.0,-2.1099545044794974e-14,1.4971698911289228e-16,-2.0831920551826063e-14,-2.131574752892008e-14,0.0
8 niche ecology,1% resolution,epoch=0+mut_distn=np.random.exponential,0.0014590238684468898,0.009940058637129242,0.0703325609210244,-2.0887056985798878e-14,49.97668771515836,0.0028268755360183473,0.019887465249424325,0.1406396995515026,-2.0887257023039e-14,49.99956967891535
8 niche ecology,1% resolution,epoch=0+mut_distn=np.random.standard_normal,0.0024955759532186675,0.010045788360977817,0.0468844937429064,-2.0881683085077243e-14,15.569306470886886,0.002118841315373353,0.010504820329514403,0.0703191348165945,-2.088188301775089e-14,38.19873081795515
8 niche ecology,1% resolution,epoch=2+mut_distn=np.random.exponential,1.7357842034554763e-05,8.360723204861137e-05,0.0005648258457613,-2.1306304564505667e-14,39.46856679630618,4.768804342151856e-06,2.3200838570242174e-05,0.0001570830342978,-2.130651270470415e-14,39.89573969107441
8 niche ecology,1% resolution,epoch=2+mut_distn=np.random.standard_normal,1.165478146142579e-05,7.004180769536091e-05,0.0004952980368679,-2.13071246556156e-14,49.24974396172091,3.270489756547486e-06,1.994531960776062e-05,0.0001410853896176,-2.130733281172109e-14,49.38860129964097
8 niche ecology,1% resolution,epoch=7+mut_distn=np.random.exponential,-2.1072066245134736e-14,1.4253945631057657e-16,-2.0828024289992265e-14,-2.130786206790848e-14,0.0,-2.1072269826863715e-14,1.4254220900662939e-16,-2.082822320132253e-14,-2.130807025178909e-14,0.0
8 niche ecology,1% resolution,epoch=7+mut_distn=np.random.standard_normal,-2.1089277923412428e-14,1.3255924364982883e-16,-2.0829579170149284e-14,-2.1312440742641086e-14,0.0,-2.108948182436659e-14,1.3256183978476378e-16,-2.0829778093935452e-14,-2.1312649002367522e-14,0.0
8 niche ecology,10% resolution,epoch=0+mut_distn=np.random.exponential,0.0028340655565393925,0.007685150786830778,0.0475097125708538,-2.0989715259222497e-14,26.9250743033899,0.004818489635896152,0.023524482185911737,0.1526410376433502,-2.0989917268062467e-14,34.17527126652048
8 niche ecology,10% resolution,epoch=0+mut_distn=np.random.standard_normal,0.008931390008701861,0.01904986507072917,0.0725836098026465,-2.10316748157021e-14,4.566774299615377,0.009807645852809412,0.02826083857658686,0.1407599635874504,-2.103187762592862e-14,11.583530614504367
8 niche ecology,10% resolution,epoch=2+mut_distn=np.random.exponential,0.0003941009830141928,0.0006905344259148306,0.0026315474362818,-2.131029503997093e-14,2.739303278258123,0.0029220856424519172,0.013942890932185082,0.070593220206282,-2.1310503266280756e-14,22.321282077829586
8 niche ecology,10% resolution,epoch=2+mut_distn=np.random.standard_normal,0.002336521520965593,0.009365277750279219,0.047620516042749,-2.131546743192724e-14,21.908507946472778,0.0015339484862089883,0.007367955267926335,0.0470824564806805,-2.131567480999109e-14,32.35880679789267
8 niche ecology,10% resolution,epoch=7+mut_distn=np.random.exponential,-2.1065094190374482e-14,1.4852628146105771e-16,-2.0833038018269523e-14,-2.1307721700928476e-14,0.0,-2.106529757783849e-14,1.4852912199909401e-16,-2.0833237025347996e-14,-2.1307929875266705e-14,0.0
8 niche ecology,10% resolution,epoch=7+mut_distn=np.random.standard_normal,-2.1120392175961917e-14,1.3779485639348103e-16,-2.0847307763938287e-14,-2.130349966086199e-14,0.0,-2.1120596690242692e-14,1.3779755575065323e-16,-2.084750703814328e-14,-2.1303707755905262e-14,0.0
8 niche ecology,3% resolution,epoch=0+mut_distn=np.random.exponential,3.419532610740609e-05,0.00012248702984313855,0.0008114071410469,-2.1138296569547435e-14,34.94881255981258,9.600889333829045e-06,3.499725870015165e-05,0.0002317782470641,-2.1138501445411028e-14,35.02566980710051
8 niche ecology,3% resolution,epoch=0+mut_distn=np.random.standard_normal,0.004663143651810069,0.016637918095650028,0.093782669645866,-2.1289923512412636e-14,18.47984664325735,0.008028580371377674,0.038272705839436066,0.2461164286323054,-2.1290131340136648e-14,32.883047481545134
8 niche ecology,3% resolution,epoch=2+mut_distn=np.random.exponential,6.204614610104032e-05,0.00026309871505688205,0.0014736720093375,-2.1284059733840063e-14,23.08187380831068,1.7557669668031773e-05,7.506406016889334e-05,0.0004203337725899,-2.1284267446604476e-14,23.13740118590006
8 niche ecology,3% resolution,epoch=2+mut_distn=np.random.standard_normal,3.6419101936769245e-05,0.00011200904349526717,0.0005327638563473,-2.127556867225616e-14,10.27135300615401,1.0336828456559834e-05,3.182857044995197e-05,0.000150911938405,-2.127577621376072e-14,10.186019194337495
8 niche ecology,3% resolution,epoch=7+mut_distn=np.random.exponential,-2.108688803142222e-14,1.4671246019096885e-16,-2.0827952551677304e-14,-2.1307329765895493e-14,0.0,-2.1087091922897888e-14,1.4671529550701121e-16,-2.0828151457222875e-14,-2.1307537921330478e-14,0.0
8 niche ecology,3% resolution,epoch=7+mut_distn=np.random.standard_normal,-2.105203476261324e-14,1.2677461653235698e-16,-2.0839864754845992e-14,-2.1282395199705682e-14,0.0,-2.1052237919541252e-14,1.267770960138965e-16,-2.084006388839613e-14,-2.12826028799246e-14,0.0
8 niche ecology,33% resolution,epoch=0+mut_distn=np.random.exponential,0.045353306173770355,0.05237757590972582,0.2444143465953747,-2.0944815550109743e-14,3.273064457678508,0.0759355366831733,0.09343378589049235,0.3292885573280343,0.0007771095930674,-0.19774187088024142
8 niche ecology,33% resolution,epoch=0+mut_distn=np.random.standard_normal,0.04383567368391371,0.04232303929946804,0.1443378744285045,-2.11125016769037e-14,-0.6604604858890712,0.06956117486550019,0.08399081366582804,0.3293785056197317,-2.1112706048916703e-14,0.2125058596903151
8 niche ecology,33% resolution,epoch=2+mut_distn=np.random.exponential,0.00989615341772874,0.01992922344791006,0.0785372774761484,-2.1303752710751992e-14,2.9235582141468583,0.015957438291165107,0.035990073252931146,0.1420495356850118,-2.1303960806294764e-14,4.6479255466720355
8 niche ecology,33% resolution,epoch=2+mut_distn=np.random.standard_normal,0.012470030346318179,0.029036688242685273,0.139264837631661,-2.131101604832e-14,8.161023172342032,0.011033417537808543,0.02719390860818078,0.118454334388337,-2.131122428566828e-14,7.688111365899472
8 niche ecology,33% resolution,epoch=7+mut_distn=np.random.exponential,-2.107110816766202e-14,1.402251302395172e-16,-2.0837315413183065e-14,-2.1288415974249732e-14,0.0,-2.1071311752805717e-14,1.4022783919332864e-16,-2.083751449676541e-14,-2.1288623769264526e-14,0.0
