quality,n,phylometric,statistic,p,regime,epoch,mut_distn
1% resolution,50,mean_evolutionary_distinctiveness,585.0,0.6122971700099231,weak ecology,0,np.random.exponential
10% resolution,50,mean_pairwise_distance,74.0,5.339357587716575e-08,weak ecology,0,np.random.exponential
3% resolution,50,mean_pairwise_distance,606.0,0.7610682552125038,weak ecology,0,np.random.exponential
33% resolution,50,mean_pairwise_distance,0.0,7.556929455863566e-10,weak ecology,0,np.random.exponential
1% resolution,50,mean_pairwise_distance,587.0,0.6259107217420403,weak ecology,0,np.random.exponential
10% resolution,50,sum_distance,589.0,0.6396530018516378,weak ecology,0,np.random.exponential
3% resolution,50,sum_distance,617.0,0.8431293969609626,weak ecology,0,np.random.exponential
33% resolution,50,sum_distance,623.0,0.888681686055255,weak ecology,0,np.random.exponential
1% resolution,50,sum_distance,585.0,0.6122971700099231,weak ecology,0,np.random.exponential
1% resolution,50,colless_like_index,623.0,0.888681686055255,weak selection,0,np.random.exponential
10% resolution,50,colless_like_index,211.0,3.836307642831257e-05,weak selection,0,np.random.exponential
3% resolution,50,colless_like_index,471.0,0.10799495507295948,weak selection,0,np.random.exponential
33% resolution,50,colless_like_index,0.0,7.556929455863566e-10,weak selection,0,np.random.exponential
1% resolution,50,mean_evolutionary_distinctiveness,631.0,0.9499685188719619,weak selection,0,np.random.exponential
10% resolution,50,mean_evolutionary_distinctiveness,619.0,0.8582630586832802,weak selection,0,np.random.exponential
3% resolution,50,mean_evolutionary_distinctiveness,630.0,0.9422839110260988,weak selection,0,np.random.exponential
33% resolution,50,mean_evolutionary_distinctiveness,485.0,0.14098712619772763,weak selection,0,np.random.exponential
1% resolution,50,mean_pairwise_distance,549.0,0.3929303880925773,weak selection,0,np.random.exponential
10% resolution,50,mean_pairwise_distance,0.0,7.556929455863566e-10,weak selection,0,np.random.exponential
3% resolution,50,mean_pairwise_distance,269.0,0.00037478144165664385,weak selection,0,np.random.exponential
33% resolution,50,mean_pairwise_distance,0.0,7.556929455863566e-10,weak selection,0,np.random.exponential
1% resolution,50,sum_distance,624.0,0.8963138410681736,weak selection,0,np.random.exponential
10% resolution,50,sum_distance,626.0,0.9116062720674252,weak selection,0,np.random.exponential
3% resolution,50,sum_distance,631.0,0.9499685188719619,weak selection,0,np.random.exponential
33% resolution,50,sum_distance,497.0,0.175008298276776,weak selection,0,np.random.exponential
1% resolution,50,colless_like_index,628.0,0.9269315130521094,ecology,0,np.random.standard_normal
33% resolution,50,colless_like_index,0.0,7.556929455863566e-10,ecology,0,np.random.standard_normal
10% resolution,50,colless_like_index,45.0,1.067954707357515e-08,ecology,0,np.random.standard_normal
3% resolution,50,colless_like_index,595.0,0.6816120452366761,ecology,0,np.random.standard_normal
1% resolution,50,mean_evolutionary_distinctiveness,631.0,0.9499685188719619,ecology,0,np.random.standard_normal
