id,ancestor_list,ancestor_listr_,taxon_label,trait,origin_time,island,niche,ancestor_id,identification
267798,[267252],[267252],28579,298263.2,262132,0,0,267252,267798
267801,[267002],[267002],14551,298260.7,262132,0,0,267002,267801
267805,[267463],[267463],10474,298262.1,262132,0,0,267463,267805
267806,[267542],[267542],26928,298262.03,262132,0,0,267542,267806
267809,[263729],[263729],26275,298259.2,262132,0,0,263729,267809
267810,[265821],[265821],27059,298259.66,262132,0,0,265821,267810
267815,[266513],[266513],30654,298259.22,262132,0,0,266513,267815
267868,[267313],[267313],18744,298259.44,262132,0,0,267313,267868
267897,[267291],[267291],18543,298260.28,262132,0,0,267291,267897
268080,[267335],[267335],26628,298262.1,262132,0,0,267335,268080
268083,[267035],[267035],16574,298258.84,262132,0,0,267035,268083
268094,[267402],[267402],7169,298262.97,262132,0,0,267402,268094
268125,[267228],[267228],10257,298259.88,262132,0,0,267228,268125
268158,[265762],[265762],23939,298258.47,262132,0,0,265762,268158
268186,[265525],[265525],13303,298260.97,262132,0,0,265525,268186
268228,[267622],[267622],24064,298263.78,262132,0,0,267622,268228
268232,[266595],[266595],25023,298259.47,262132,0,0,266595,268232
268301,[267511],[267511],10095,298261.12,262132,0,0,267511,268301
268308,[267458],[267458],24897,298261.75,262132,0,0,267458,268308
268311,[267544],[267544],8829,298261.75,262132,0,0,267544,268311
268331,[267622],[267622],18756,298263.78,262132,0,0,267622,268331
268379,[266025],[266025],23942,298262.0,262132,0,0,266025,268379
268407,[267280],[267280],14290,298262.47,262132,0,0,267280,268407
268492,[267798],[267798],28579,298263.8,262133,0,0,267798,268492
268524,[267731],[267731],17283,298262.56,262133,0,0,267731,268524
268575,[266879],[266879],5340,298262.12,262133,0,0,266879,268575
268611,[268407],[268407],14290,298263.78,262133,0,0,268407,268611
268638,[264003],[264003],21441,298258.3,262133,0,0,264003,268638
268655,[266227],[266227],28208,298260.62,262133,0,0,266227,268655
268670,[266194],[266194],33,298258.75,262133,0,0,266194,268670
268678,[267897],[267897],18543,298261.4,262133,0,0,267897,268678
268701,[267402],[267402],27790,298263.8,262133,0,0,267402,268701
268731,[268228],[268228],24064,298264.0,262133,0,0,268228,268731
268742,[268308],[268308],24897,298262.12,262133,0,0,268308,268742
268757,[267745],[267745],17431,298259.9,262133,0,0,267745,268757
268789,[266218],[266218],7553,298259.47,262133,0,0,266218,268789
268867,[268094],[268094],7169,298263.12,262133,0,0,268094,268867
268876,[267731],[267731],20974,298262.56,262133,0,0,267731,268876
268897,[268311],[268311],8829,298262.16,262133,0,0,268311,268897
268988,[267420],[267420],23859,298260.94,262133,0,0,267420,268988
268989,[268301],[268301],10095,298261.75,262133,0,0,268301,268989
268992,[268232],[268232],25023,298260.53,262133,0,0,268232,268992
268998,[266286],[266286],18467,298258.5,262133,0,0,266286,268998
269017,[267777],[267777],31391,298264.12,262133,0,0,267777,269017
269089,[267111],[267111],2319,298261.72,262133,0,0,267111,269089
269112,[267805],[267805],10474,298263.22,262133,0,0,267805,269112
269125,[267810],[267810],27059,298261.25,262133,0,0,267810,269125
269237,[267111],[267111],25509,298263.03,262133,0,0,267111,269237
269255,[266804],[266804],19545,298262.3,262133,0,0,266804,269255
269296,[267809],[267809],26275,298261.9,262134,0,0,267809,269296
269313,[267815],[267815],30654,298262.78,262134,0,0,267815,269313
269377,[267695],[267695],23324,298260.53,262134,0,0,267695,269377
269391,[268678],[268678],18543,298263.56,262134,0,0,268678,269391
269407,[268080],[268080],26628,298263.4,262134,0,0,268080,269407
