id,ancestor_list,origin_time,destruction_time,taxon_label,ancestor_id
647,[463],32543.5,32592.5,Inner+r=32512+d=_+uid=C7XtX4sdssTJx3djcji6g-,463
654,[396],32543.5,32592.5,Inner+r=32512+d=Cy+uid=BaF2quR5sq0os1jywCBomc,396
655,[470],32543.5,32592.5,Inner+r=32512+d=B7+uid=DCHoRO8lzUap9GhcPuuxRk,470
656,[470],32543.5,32592.5,Inner+r=32512+d=t+uid=BIQvcSlbv7iSMgtk0ZaM5s,470
663,[399],32543.5,32592.5,Inner+r=32512+d=Q+uid=DAe4dazOkjZtTSISZUT5wg,399
669,[254],32543.5,32592.5,Inner+r=32512+d=BB+uid=C6B48OALMgwEwOKc6A1rgS,254
675,[484],32543.5,32592.5,Inner+r=32512+d=A+uid=CAuGNlD2GXwkmhsC6v-RLk,484
682,[579],32543.5,32592.5,Inner+r=32512+d=d+uid=22e-PlhB8iVOQd-0oA8zB,579
686,[351],32543.5,32592.5,Inner+r=32512+d=Dj+uid=C5-lIe4MgCZlBZEWTLe_lA,351
693,[417],32543.5,32592.5,Inner+r=32512+d=CA+uid=CEnMFv0riYDnCKmgGqt-Ro,417
695,[591],32543.5,32592.5,Inner+r=32512+d=BZ+uid=Bc9udXi1CfIvo7oFeniCbW,591
709,[601],32591.5,32624.5,Inner+r=32576+d=Bg+uid=MUPcU8gLlmxhxPTJlcMeQ,601
710,[510],32591.5,32624.5,Inner+r=32576+d=Be+uid=1NMyuiqZyNS7nr5dCU3W-,510
720,[366],32591.5,32624.5,Inner+r=32576+d=BS+uid=BSzeI4t5uBndvM2ZK68z8X,366
733,[621],32591.5,32624.5,Inner+r=32576+d=Dp+uid=DPiOgzdiEhG_kZaqaGwkvR,621
736,[528],32591.5,32624.5,Inner+r=32576+d=_+uid=Cl8J5jRd24fagapAorC4wS,528
746,[279],32591.5,32624.5,Inner+r=32576+d=De+uid=C_BsYsxwfwK48NkOiIGDo8,279
748,[536],32591.5,32624.5,Inner+r=32576+d=H+uid=DJj6NImcm-DfwtZU3Co4FE,536
750,[330],32591.5,32624.5,Inner+r=32576+d=DY+uid=CIU0IG_EpEfsSYcsZ8CBu3,330
773,[655],32591.5,32624.5,Inner+r=32576+d=Dq+uid=BiGsokdWkLP0EinhTI2jgM,655
789,[130],32591.5,32624.5,Inner+r=32576+d=i+uid=CGV20b3bSs06-knr8MSzVN,130
790,[669],32591.5,32624.5,Inner+r=32576+d=i+uid=BBvoIiGMhya1cCp3dhtNXH,669
794,[347],32591.5,32624.5,Inner+r=32576+d=Dy+uid=VBowTdVHBfEKgnQ-CVIye,347
795,[347],32591.5,32624.5,Inner+r=32576+d=DA+uid=D9CxEAfbaufxjHUIwa92z4,347
798,[675],32591.5,32624.5,Inner+r=32576+d=DY+uid=DpRIozLlk121ET3pn1MCDl,675
804,[579],32591.5,32624.5,Inner+r=32576+d=D1+uid=nME_PVK6y8u-yup59XqV1,579
808,[491],32591.5,32624.5,Inner+r=32576+d=_+uid=tpUoH1q5Mrr_CRxVbW0az,491
818,[693],32591.5,32624.5,Inner+r=32576+d=j+uid=3Z9KfzCQuzPOETcSqlrHK,693
829,[359],32591.5,32624.5,Inner+r=32576+d=DW+uid=BZ6gRi_EQtA3Tx64kknX6K,359
834,[265],32623.5,32656.5,Inner+r=32608+d=Db+uid=hWIk8szfgaaZ5vyRbazXL,265
841,[510],32623.5,32656.5,Inner+r=32608+d=CD+uid=CpYLcAxNZUf0YQi0P3vpOv,510
847,[608],32623.5,32656.5,Inner+r=32608+d=CP+uid=BewSezpLx5d8wCU2TxO3YZ,608
869,[736],32623.5,32656.5,Inner+r=32608+d=BL+uid=BuGjDLlk__y7VHCnUKLLMZ,736
876,[379],32623.5,32656.5,Inner+r=32608+d=Bn+uid=DX2u85mvAYWQpj7xbWoLsh,379
884,[42],32623.5,32656.5,Inner+r=32608+d=Dx+uid=Cddeu9Xli9EpH5DDW2Ag1q,42
888,[540],32623.5,32656.5,Inner+r=32608+d=BH+uid=HouyieaUWmGI1xQMQmh_J,540
905,[68],32623.5,32656.5,Inner+r=32608+d=CD+uid=CMZ5Qnyu3jVtzo_lkrQo3A,68
914,[397],32623.5,32656.5,Inner+r=32608+d=Dz+uid=IGXsHbQcd1dFXAVQBQimB,397
922,[476],32623.5,32656.5,Inner+r=32608+d=G+uid=BPhY_ir73LMahsfzSppFdS,476
923,[476],32623.5,32656.5,Inner+r=32608+d=BM+uid=BAXLaG3HTEm2k5prEoN4Uz,476
925,[401],32623.5,32656.5,Inner+r=32608+d=k+uid=i6oGsBwoI0A6O2NhlK7cc,401
941,[408],32623.5,32656.5,Inner+r=32608+d=Dy+uid=Cco1TWsMwc7IEIEjmzRz6j,408
947,[804],32623.5,32656.5,Inner+r=32608+d=h+uid=BQ42C7N-IWbQ4QgpiLOibH,804
971,[593],32623.5,32656.5,Inner+r=32608+d=BD+uid=DJkwXITSOAZYMcJ8680AR3,593
975,[829],32623.5,32656.5,Inner+r=32608+d=Ba+uid=CKdn7YaJ6DAmdamf7t3T71,829
977,[361],32655.5,32680.5,Inner+r=32640+d=DW+uid=D5NBxolmuuoUi-qxNNqY8d,361
979,[598],32655.5,32680.5,Inner+r=32640+d=DI+uid=C0e5jKpiXTfrevty5_0ODF,598
981,[834],32655.5,32680.5,Inner+r=32640+d=DH+uid=D95eC5KMrYhln_tylbohZW,834
984,[709],32655.5,32680.5,Inner+r=32640+d=DC+uid=B9EAH3sz5-PRyC4wImSj9u,709
993,[606],32655.5,32680.5,Inner+r=32640+d=D_+uid=C2kgLMvKPSM-AuOC3w2yzj,606
994,[431],32655.5,32680.5,Inner+r=32640+d=Cf+uid=C9xCfKEaPJJ4NqaIku9TWY,431
996,[847],32655.5,32680.5,Inner+r=32640+d=DY+uid=KJ9GYrDm1Kz_2pk8Vg8mW,847
1005,[370],32655.5,32680.5,Inner+r=32640+d=Cq+uid=DDRgq_AkF3VP4wUC1w0MOR,370
1014,[733],32655.5,32680.5,Inner+r=32640+d=Bz+uid=B9AIMJczD_C5cmA475wfAC,733
1015,[621],32655.5,32680.5,Inner+r=32640+d=Da+uid=C9w7wR9J0oOqzOkNNM20Vu,621
1022,[626],32655.5,32680.5,Inner+r=32640+d=BX+uid=6WcTDJnJdV4iHBgopckAg,626
1024,[378],32655.5,32680.5,Inner+r=32640+d=Bx+uid=DT-SFDtvl-SnasdFOGCUcb,378
1030,[746],32655.5,32680.5,Inner+r=32640+d=u+uid=BD_RdSnj0cShItsOWGiQez,746
1033,[748],32655.5,32680.5,Inner+r=32640+d=CF+uid=BLVvT5i-XxWakQwOCPMkn_,748
1035,[884],32655.5,32680.5,Inner+r=32640+d=BM+uid=Mzapvv3xF9IkjcUSeBZk8,884
1039,[330],32655.5,32680.5,Inner+r=32640+d=O+uid=C3hZnLfgCl9Ez5xybWRQc2,330
1044,[332],32655.5,32680.5,Inner+r=32640+d=CW+uid=DHYzCvojxLJyf1L6mhF1Ef,332
1046,[643],32655.5,32680.5,Inner+r=32640+d=Bt+uid=CU2M1HcY47r5RC82L5Gcsy,643
1050,[646],32655.5,32680.5,Inner+r=32640+d=Bo+uid=-SrTTusNJl3FZmBa3SnwY,646
1056,[336],32655.5,32680.5,Inner+r=32640+d=F+uid=Bl_guUQuzz8grc7tlmb3Tb,336
1061,[654],32655.5,32680.5,Inner+r=32640+d=Ci+uid=WqG_QR2j3GHcodLWIhNzu,654
1062,[654],32655.5,32680.5,Inner+r=32640+d=BN+uid=mDVJ2_bGPh2L_mfTs-Hup,654
1064,[773],32655.5,32680.5,Inner+r=32640+d=B1+uid=DDt_SyF96xOagkZTK7cBvS,773
1068,[914],32655.5,32680.5,Inner+r=32640+d=C6+uid=BklFNv563v8A_hI3I-8u8x,914
1077,[922],32655.5,32680.5,Inner+r=32640+d=q+uid=Bap7zXkdJIMuZSP1YLANDu,922
1084,[789],32655.5,32680.5,Inner+r=32640+d=m+uid=DqmnVokRxtnnRWQwp1qIOa,789
1089,[481],32655.5,32680.5,Inner+r=32640+d=P+uid=CTDcXwnNdSEcWtfmfN6LNG,481
1090,[481],32655.5,32680.5,Inner+r=32640+d=CV+uid=DerHO5I9y03FPlhSYs0UHm,481
1095,[484],32655.5,32680.5,Inner+r=32640+d=v+uid=DJuAVv72cJ6ZaCQO8PaDmF,484
1102,[577],32655.5,32680.5,Inner+r=32640+d=w+uid=EYSnxTm23ljh-wxmhW2n8,577
1115,[686],32655.5,32680.5,Inner+r=32640+d=C5+uid=CtcJrsRxDBXp-C7pVH0jp,686
1118,[585],32655.5,32680.5,Inner+r=32640+d=CG+uid=BrTvQdEAU91D5Wc3DXwJBO,585
1123,[818],32655.5,32680.5,Inner+r=32640+d=D1+uid=BvE0wJFFEtp9XeaQcyajtt,818
1127,[695],32655.5,32680.5,Inner+r=32640+d=DY+uid=ByC29ITuF5WJ55xuUHyTCR,695
1134,[359],32655.5,32680.5,Inner+r=32640+d=BZ+uid=CKQlNAg3xKr8aXRYuGQBSS,359
1136,[975],32655.5,32680.5,Inner+r=32640+d=BE+uid=B5_4YqUdjlHqn0iaP2Jeb9,975
1144,[834],32679.5,32696.5,Inner+r=32672+d=a+uid=Dfv1I8ihdxrTcKKJTA0mSC,834
1149,[984],32679.5,32696.5,Inner+r=32672+d=8+uid=bv_a6D2iw7C6oT_xAIL-M,984
1152,[710],32679.5,32696.5,Inner+r=32672+d=D8+uid=XKkAScqm4pMDXZWD7vpOB,710
1168,[514],32679.5,32696.5,Inner+r=32672+d=C1+uid=CQNrfQU7qZ2E3tc-DZEH7I,514
1177,[616],32679.5,32696.5,Inner+r=32672+d=U+uid=B-jNVAzeGc0oOkB3Oznabh,616
1209,[536],32679.5,32696.5,Inner+r=32672+d=DE+uid=DeZ2vW8gJxU2Y39l6gLKdJ,536
1218,[750],32679.5,32696.5,Inner+r=32672+d=B7+uid=TzK47V6ne5sYYCCI1nFee,750
1226,[1044],32679.5,32696.5,Inner+r=32672+d=p+uid=BFL6yayFAyCmW2mezv5vZ1,1044
1234,[546],32679.5,32696.5,Inner+r=32672+d=C+uid=B3RoAu_lxT2WZ7ahb80dij,546
1248,[1061],32679.5,32696.5,Inner+r=32672+d=CD+uid=CQEmKLerK2C8J_qucuEM4o,1061
1256,[656],32679.5,32696.5,Inner+r=32672+d=C-+uid=xQ7cq20ReeDTpAEPnYEpQ,656
1267,[663],32679.5,32696.5,Inner+r=32672+d=B0+uid=ZMAo0synv_sIt8zNjUbIX,663
1274,[925],32679.5,32696.5,Inner+r=32672+d=C6+uid=DxnEHBY_k8_KY73PZ8b5IP,925
1276,[1084],32679.5,32696.5,Inner+r=32672+d=Cu+uid=BGjMgABIUc2qw_95T6PWX1,1084
1296,[941],32679.5,32696.5,Inner+r=32672+d=M+uid=B3BsNKx4vOW2XuBGU_d2db,941
