id,ancestor_list,origin_time,destruction_time,taxon_label,ancestor_id
84700,[81768],32767.0,32769.0,Inner+r=32767+d=C2+uid=DNTxowQD8mChIZlslui4lf,81768
84701,[81768],32767.0,32769.0,Inner+r=32767+d=Cw+uid=MuCswvy45mS5IDDu_S_f7,81768
84703,[81769],32767.0,32769.0,Inner+r=32767+d=DX+uid=CyoJ1NAvcc6bqQHsz5FEB9,81769
84706,[51017],32767.0,32769.0,Inner+r=32767+d=C1+uid=CvRprEe0P79nRLRhXbuRng,51017
84707,[79758],32767.0,32769.0,Inner+r=32767+d=D9+uid=BXHHGBGEnlagvN_zhMmXC8,79758
84708,[79758],32767.0,32769.0,Inner+r=32767+d=Co+uid=B57DTHfXaL8Z5-Uos9K9EI,79758
84710,[81775],32767.0,32769.0,Inner+r=32767+d=DE+uid=B6jMoL42lkpX_XzaI0AkpA,81775
84711,[81775],32767.0,32769.0,Inner+r=32767+d=Ci+uid=BO1ekhnscMtxFiG1QFPG19,81775
84712,[79759],32767.0,32769.0,Inner+r=32767+d=BY+uid=C3G2RNGd0_z6_oM4g69Kt1,79759
84716,[81780],32767.0,32769.0,Inner+r=32767+d=Da+uid=CTcKdGi8MPvgQuVmOyE_RQ,81780
84717,[81780],32767.0,32769.0,Inner+r=32767+d=f+uid=DRhRDVJdfZZ3t9IZ331-Zb,81780
84718,[76863],32767.0,32769.0,Inner+r=32767+d=E+uid=ZQn3X3nSbY9Nug5LYnWfQ,76863
84719,[35398],32767.0,32769.0,Inner+r=32767+d=U+uid=CkgE9rwoYB5-p3vFixOXrT,35398
84720,[81783],32767.0,32769.0,Inner+r=32767+d=a+uid=DmX1dgG_p3P-X125mScXbq,81783
84723,[79765],32767.0,32769.0,Inner+r=32767+d=DH+uid=D6nPKbrkuijX1M9xUBECzI,79765
84724,[81785],32767.0,32769.0,Inner+r=32767+d=D3+uid=odr50_85PtUqX1_0LK96N,81785
84725,[81785],32767.0,32769.0,Inner+r=32767+d=Bt+uid=DZVTyGt2IHFJ3FvR943kpe,81785
84732,[81788],32767.0,32769.0,Inner+r=32767+d=Cl+uid=CAxFEDX4s_OHFfv4Fkksc,81788
84733,[81788],32767.0,32769.0,Inner+r=32767+d=DM+uid=BTBXldj3pR0lUkqrRzUYq7,81788
84734,[81788],32767.0,32769.0,Inner+r=32767+d=Bj+uid=CiDa8LJQ_F7u7IB0aA6Z0z,81788
84736,[79769],32767.0,32769.0,Inner+r=32767+d=Bl+uid=DNsp1HjJRhG0JLiEbxcoWW,79769
84737,[73703],32767.0,32769.0,Inner+r=32767+d=C1+uid=DeJ1JXBGjXzYuNWfEIzLrd,73703
84738,[81791],32767.0,32769.0,Inner+r=32767+d=m+uid=Df6M4E7cesYzOJ2sxLRwLP,81791
84739,[81791],32767.0,32769.0,Inner+r=32767+d=BY+uid=C4YZq4K34nfEnuBnKfzIsN,81791
84741,[81793],32767.0,32769.0,Inner+r=32767+d=CM+uid=CDtuwNa-fh86ivptlPQN1u,81793
84743,[81794],32767.0,32769.0,Inner+r=32767+d=BH+uid=WGtxoORGJbSrSwAY1AbjW,81794
84746,[81795],32767.0,32769.0,Inner+r=32767+d=D+uid=BndNykvCrfN4am3gDQ_62B,81795
84747,[78194],32767.0,32769.0,Inner+r=32767+d=Dd+uid=DWYtGPv7SIAZvQVEelfJFI,78194
84748,[81797],32767.0,32769.0,Inner+r=32767+d=D+uid=DUHJGroOC7GBnodRtI2nUR,81797
84751,[81798],32767.0,32769.0,Inner+r=32767+d=B+uid=1ibv3xvppEuj_3C_iZwgR,81798
84752,[79777],32767.0,32769.0,Inner+r=32767+d=BE+uid=BTtzvdY_p1oYSggcoJlqeV,79777
84754,[79778],32767.0,32769.0,Inner+r=32767+d=Bo+uid=C7JLJ5I9rGi8OYBjGpmet9,79778
84755,[81802],32767.0,32769.0,Inner+r=32767+d=Co+uid=Bq1IuV56lsdoftS1mbOUGG,81802
84759,[81804],32767.0,32769.0,Inner+r=32767+d=CT+uid=B-ZTe8wN7OEue1mboieiiO,81804
84760,[81804],32767.0,32769.0,Inner+r=32767+d=C3+uid=BdtcTfFhxdlU51B83xUat4,81804
84764,[81806],32767.0,32769.0,Inner+r=32767+d=BR+uid=Ce252sSOPd_Hj7GHQVaCCP,81806
84765,[81806],32767.0,32769.0,Inner+r=32767+d=Cp+uid=N-O36Jaiql9_baWcOovIw,81806
84766,[81807],32767.0,32769.0,Inner+r=32767+d=Z+uid=FdQExF7W58ebg16px-KEa,81807
84768,[74670],32767.0,32769.0,Inner+r=32767+d=Cq+uid=CTJVqNZUEpCqAG5zeQDjZO,74670
84769,[81809],32767.0,32769.0,Inner+r=32767+d=p+uid=D91nDyPWK8SSzPziSrDkOP,81809
84770,[81809],32767.0,32769.0,Inner+r=32767+d=Ci+uid=QlOyBc8krh-f6yT4anwiw,81809
84774,[81811],32767.0,32769.0,Inner+r=32767+d=h+uid=DDXlqgd_pRHvas-o6DH5L1,81811
84775,[81812],32767.0,32769.0,Inner+r=32767+d=Da+uid=CG_MGIJA-l9Xkb8OVpT20x,81812
84777,[81812],32767.0,32769.0,Inner+r=32767+d=V+uid=zG1BEE9g78qsF0SCrmQAI,81812
84778,[81812],32767.0,32769.0,Inner+r=32767+d=DT+uid=KXzNz8KeW4oKhxnycPfFm,81812
84779,[81813],32767.0,32769.0,Inner+r=32767+d=C9+uid=NH_qSFLPaiyGdYGpJVbBE,81813
84780,[81813],32767.0,32769.0,Inner+r=32767+d=Di+uid=CUX9boz5dbQpMWY02odYW,81813
84781,[81813],32767.0,32769.0,Inner+r=32767+d=CH+uid=It60IeNdBNN1uNczm0lO,81813
84787,[81815],32767.0,32769.0,Inner+r=32767+d=Dj+uid=is5nSS4o4tI1J5T35pPGA,81815
84792,[81819],32767.0,32769.0,Inner+r=32767+d=d+uid=DPI5qk2tSymBT8M-rdlDq1,81819
84794,[73713],32767.0,32769.0,Inner+r=32767+d=u+uid=CdVZiDZBGbg_nFo8ttJ2-8,73713
84795,[81821],32767.0,32769.0,Inner+r=32767+d=q+uid=sEYH-IpJezmxiJi8L-k9s,81821
84798,[79795],32767.0,32769.0,Inner+r=32767+d=CC+uid=DFodiQ_kSfwMSCR2aMT9gn,79795
84799,[81823],32767.0,32769.0,Inner+r=32767+d=h+uid=mIK1S6QW9Zu8FOYKJEtic,81823
84802,[81824],32767.0,32769.0,Inner+r=32767+d=Bn+uid=C1003bRWsApTvSqTcy0b2k,81824
84804,[81825],32767.0,32769.0,Inner+r=32767+d=K+uid=B7geE_TklxNaZwgtgROiFh,81825
84810,[75731],32767.0,32769.0,Inner+r=32767+d=0+uid=B7fgMWWXZ5qkgMFr8Qe1gy,75731
84811,[68910],32767.0,32769.0,Inner+r=32767+d=CF+uid=P7dgNX7kqIoiW6Iuc2fvQ,68910
84812,[74681],32767.0,32769.0,Inner+r=32767+d=B5+uid=BNJ0ZgX8kdOup1NGZq2SWx,74681
84814,[81831],32767.0,32769.0,Inner+r=32767+d=CK+uid=BAKQT_bY1OSCfaxza67Ud3,81831
84816,[81832],32767.0,32769.0,Inner+r=32767+d=Bl+uid=FR4BXvD61-G92obtaH3_e,81832
84817,[81832],32767.0,32769.0,Inner+r=32767+d=o+uid=CVMGt9sm6UxmT2tqpxb3rC,81832
84818,[79805],32767.0,32769.0,Inner+r=32767+d=BD+uid=XtN4mHWWECLVdS-BUFYQ3,79805
84821,[79806],32767.0,32769.0,Inner+r=32767+d=h+uid=Dav0XvYNZXyQImw2sRECIQ,79806
84822,[79806],32767.0,32769.0,Inner+r=32767+d=CF+uid=BNThc9ElfHI5zHKFptHuQt,79806
84823,[81837],32767.0,32769.0,Inner+r=32767+d=Co+uid=DwHudBb48CKdTniU74HxrC,81837
84824,[81837],32767.0,32769.0,Inner+r=32767+d=Bl+uid=DtwQwKJZxP1SkAhc5auE5W,81837
84827,[81839],32767.0,32769.0,Inner+r=32767+d=P+uid=CW21ymzKPvlM6BBS9Dse77,81839
84831,[81840],32767.0,32769.0,Inner+r=32767+d=BG+uid=D5kartIyP2jDmelgvlOqmc,81840
84833,[81842],32767.0,32769.0,Inner+r=32767+d=Cw+uid=WgT8hr1zUgEpNmsak5q6F,81842
84834,[81842],32767.0,32769.0,Inner+r=32767+d=Dx+uid=LjBueDtQuyo8_Lb613J2r,81842
84836,[81842],32767.0,32769.0,Inner+r=32767+d=Bi+uid=BTgkvJ9LXRe4jtf5LRjd2O,81842
84838,[81844],32767.0,32769.0,Inner+r=32767+d=B0+uid=C0jYb1PEzouZ3o6KbXbWsJ,81844
84840,[81844],32767.0,32769.0,Inner+r=32767+d=DH+uid=5xncneByEhFkl3hxqlx5Z,81844
84842,[79813],32767.0,32769.0,Inner+r=32767+d=k+uid=Dj1sPWK798fuBqcKEG94XK,79813
84844,[81847],32767.0,32769.0,Inner+r=32767+d=Dd+uid=Ha7k1EgVyCyqunjlNcI0N,81847
84846,[76904],32767.0,32769.0,Inner+r=32767+d=BO+uid=BUtMeqOskQSZJI5zOVqqRt,76904
84848,[78232],32767.0,32769.0,Inner+r=32767+d=Bx+uid=CJ_oIvAAVurZuFI5fav8EL,78232
84851,[81852],32767.0,32769.0,Inner+r=32767+d=-+uid=CugBd5UEFb30u73T8w2mbo,81852
84853,[81853],32767.0,32769.0,Inner+r=32767+d=m+uid=DOJZ8ojaQv44LvjWhDKXee,81853
84855,[81853],32767.0,32769.0,Inner+r=32767+d=DR+uid=qMsn-aXPJrI9pH6xq1bBv,81853
84857,[81853],32767.0,32769.0,Inner+r=32767+d=C0+uid=bKm6CRlhd7W32466-09E7,81853
84858,[81854],32767.0,32769.0,Inner+r=32767+d=DH+uid=Bf_Z8uIsMYQIj0slSg2ohk,81854
84859,[81854],32767.0,32769.0,Inner+r=32767+d=B6+uid=BE8ixjFmWPNPCdeXd2jLn7,81854
84866,[79824],32767.0,32769.0,Inner+r=32767+d=BS+uid=DDH6SD3MY7R5pldnLeh6iS,79824
84869,[81861],32767.0,32769.0,Inner+r=32767+d=CF+uid=By5zlqLLRxEq1wvR5tCZUX,81861
84871,[79826],32767.0,32769.0,Inner+r=32767+d=W+uid=BLewcqcVUuVSJXr_xN5hes,79826
84872,[78239],32767.0,32769.0,Inner+r=32767+d=e+uid=QFUm5nfD23Pto6wF10G6x,78239
84876,[79829],32767.0,32769.0,Inner+r=32767+d=3+uid=DovN3ls6HA1INnOpKzRRQ9,79829
84878,[79831],32767.0,32769.0,Inner+r=32767+d=_+uid=DtYbo_jEA6hspsUEky0eH2,79831
84879,[81869],32767.0,32769.0,Inner+r=32767+d=F+uid=BnN0HDvzXTGAYQr85lQb6C,81869
84882,[81871],32767.0,32769.0,Inner+r=32767+d=j+uid=DyYItJUiv0UU8sJ0NTtih0,81871
84883,[81871],32767.0,32769.0,Inner+r=32767+d=BP+uid=DfJ76r6mfSlWSVm4QiwWJB,81871
84886,[69639],32767.0,32769.0,Inner+r=32767+d=DW+uid=D_h0OzgfkaVEr1bJYBFVaE,69639
