id,ancestor_list,origin_time,destruction_time,num_orgs,tot_orgs,num_offspring,total_offspring,depth,sequence
13026413,[13024600],52848,52921,0,1,1,3600,3265,xwqjagcyhaoylocyoblalubcbsdsovpbnbalkotzwtynmcvqvpzpdkbjcicyavvpdvvsrkdcvjopbxcwvzydfvovvdxwyyponazvvvvfcajvvgabrd
13024600,[13022807],52841,52894,0,1,1,3600,3264,xwqjagcyhaoylocyzblalubcbsdsovpbnbalkotzwtynmcvqvpzpdkbjcicyavvpdvvsrkdsvjopbxcwvzydfvovvdxwyyponazvvvvfcajvvgabrd
25188495,[25183618],99908,99935,0,1,1,4,5982,xwtjagcvslnanvybqjaybvrvkvdulqcqsrvbvidmamxicimnypodciylzcpakvffknpsscocsioqltaubebvlybvnptudvpwkczvvvvfcjvvgaiy
25186029,[25175256],99898,99925,0,1,1,5,5971,xwjjagcvajzluluyyaydmbhtrtswojfmmvvvufyozpcrlpawcwduvavhimvyvasozibupwlbpvfcscbjcsyvqbrewnvotfppyqyzvvvvfcjvvgazc
13061778,[13060218],52984,53011,0,1,1,3600,3270,xwmjagcyhaoylocyobsalubabsdsovpbnbalkotzwtynmcvqvpzltkbjcicyavvpdvvsrkdcvjopbxczvzydfvovvdxwyyponazvvvvfcajvvgabrd
13004725,[13002663],52765,52862,0,1,1,3600,3258,xwqjagcyhaoylocyzblalubcbsdsovpbnbalkotzwtynmcvqvpzpwkbjcixyavvpdvvsridsvjopbxcwvzyyfvovvdxwyyponazvvvvfcajvvgabrd
13019238,[13017291],52820,52836,0,1,1,3600,3262,xwqjagcyhaoylocyzblalubcbsdsovpbnbalkotzwtynmcvqvpzpdkbjcicyavvpdvvsrkdsvjopbxcwvzydfvovvdxwyyponazvvvvfcajvvgabrd
25187569,[25185355],99903,99942,0,1,1,2,5981,xwtjagcvqlnanvybyjaybvrvkvdulqcusrvbvfdmamjicicdyodsiylzcpavokvffkcqrslocmiloaltaubsbvlczvnptuqvprkczvvvvfcjvvgaiy
13011758,[13006321],52792,52826,0,1,1,3600,3260,xwqjagcyhaoylocyzblalubcbsdsovpbnbalkotzwtynmcvqvpzpdkbjcicyavvpdvvsrkdsvjopbxcwvzyyfvovvdxwyyponazvvvvfcajvvgabrd
25205994,[25201501],99974,99989,0,1,1,2,5967,xwfjagcvajqkhvyiynawqefvcvkecljbdxkvvvrtlurkzfawxozupqzhxwnnkybvwalktvzlcvvpzhmltqjxwflimwpkbuaykcyzvvvvfcjvvgazn
13017291,[13011758],52812,52841,0,1,1,3600,3261,xwqjagcyhaoylocyzblalubcbsdsovpbnbalkotzwtynmcvqvpzpdkbjcicyavvpdvvsrkdsvjopbxcwvzydfvovvdxwyyponazvvvvfcajvvgabrd
25147700,[25142274],99752,99764,0,1,1,2,5976,xwtjagcvslnanvybojabvrvkvdulqcqsrvyvbdmamyiciarypodciylzcpaokvffknpsscocsiolrteubsbvlcbvnptudeprkczvvvvfcjvvgaiy
13151097,[13147718],53329,53338,0,1,1,3600,3290,xwmjagcyhaoyqocyobsalcbabsdsovpbnbalkstqwtynmcvqvxzltkbjcicyavvpdvvstkdcvjopbxczvzydfvovvdxwyyponazvvvvfcajvvgabrd
14561688,[14558230],58815,58844,0,1,1,3600,3606,xwojagcyhaoybjcxnhjaxlkabjaxpvhbpyaqezahymymcqvbvdnpfmbzcnckyvvobvvslkzpvktpycqqvaybcvdvvydxyxsopazvvvvfcajvvgabnh
