quality,n,phylometric,statistic,p,regime,epoch,mut_distn
10% resolution,50,colless_like_index,635.0,0.9807463639015632,8 niche ecology,0,np.random.standard_normal
1% resolution,50,colless_like_index,271.0,0.0004032820954100997,8 niche ecology,0,np.random.standard_normal
33% resolution,50,colless_like_index,0.0,7.556929455863566e-10,8 niche ecology,0,np.random.standard_normal
3% resolution,50,colless_like_index,313.0,0.0017333096381814846,8 niche ecology,0,np.random.standard_normal
10% resolution,50,mean_evolutionary_distinctiveness,492.0,0.16015452450984402,8 niche ecology,0,np.random.standard_normal
1% resolution,50,mean_evolutionary_distinctiveness,601.0,0.7245797902868737,8 niche ecology,0,np.random.standard_normal
33% resolution,50,mean_evolutionary_distinctiveness,387.0,0.015599803007704178,8 niche ecology,0,np.random.standard_normal
3% resolution,50,mean_evolutionary_distinctiveness,555.0,0.425802198406505,8 niche ecology,0,np.random.standard_normal
10% resolution,50,mean_pairwise_distance,274.0,0.0004498510581506042,8 niche ecology,0,np.random.standard_normal
1% resolution,50,mean_pairwise_distance,50.0,1.4171696914869546e-08,8 niche ecology,0,np.random.standard_normal
33% resolution,50,mean_pairwise_distance,0.0,7.556929455863566e-10,8 niche ecology,0,np.random.standard_normal
3% resolution,50,mean_pairwise_distance,76.0,5.949378648206278e-08,8 niche ecology,0,np.random.standard_normal
10% resolution,50,num_ancestors,172.0,6.998566903241328e-06,8 niche ecology,0,np.random.standard_normal
1% resolution,50,num_ancestors,361.5,0.02017091885655031,8 niche ecology,0,np.random.standard_normal
33% resolution,50,num_ancestors,0.0,7.548390027588035e-10,8 niche ecology,0,np.random.standard_normal
3% resolution,50,num_ancestors,526.5,0.2839131678446376,8 niche ecology,0,np.random.standard_normal
10% resolution,50,colless_like_index,432.0,0.04728385404001058,plain,0,np.random.standard_normal
3% resolution,50,colless_like_index,590.0,0.6465711850099514,plain,0,np.random.standard_normal
33% resolution,50,colless_like_index,5.0,1.0235189212610724e-09,plain,0,np.random.standard_normal
1% resolution,50,colless_like_index,600.0,0.7173535621498253,plain,0,np.random.standard_normal
10% resolution,50,mean_evolutionary_distinctiveness,637.0,0.9961489139450291,plain,0,np.random.standard_normal
3% resolution,50,mean_evolutionary_distinctiveness,614.0,0.8205387894383639,plain,0,np.random.standard_normal
33% resolution,50,mean_evolutionary_distinctiveness,557.0,0.43710630271165707,plain,0,np.random.standard_normal
1% resolution,50,mean_evolutionary_distinctiveness,604.0,0.7464038125448392,plain,0,np.random.standard_normal
10% resolution,50,mean_pairwise_distance,365.0,0.008525474468102711,plain,0,np.random.standard_normal
3% resolution,50,mean_pairwise_distance,581.0,0.5854713957431565,plain,0,np.random.standard_normal
33% resolution,50,mean_pairwise_distance,0.0,7.556929455863566e-10,plain,0,np.random.standard_normal
1% resolution,50,mean_pairwise_distance,592.0,0.6604991063759617,plain,0,np.random.standard_normal
10% resolution,50,num_ancestors,521.0,0.26074729037361477,plain,0,np.random.standard_normal
3% resolution,50,num_ancestors,425.5,0.06286188779338459,plain,0,np.random.standard_normal
33% resolution,50,num_ancestors,0.0,7.553512643873762e-10,plain,0,np.random.standard_normal
1% resolution,50,num_ancestors,384.0,0.023023699284832055,plain,0,np.random.standard_normal
33% resolution,50,colless_like_index,0.0,7.556929455863566e-10,weak 4 niche ecology,0,np.random.standard_normal
3% resolution,50,colless_like_index,490.0,0.15448740694256521,weak 4 niche ecology,0,np.random.standard_normal
1% resolution,50,colless_like_index,626.0,0.9116062720674252,weak 4 niche ecology,0,np.random.standard_normal
10% resolution,50,colless_like_index,309.0,0.0015186178609486684,weak 4 niche ecology,0,np.random.standard_normal
33% resolution,50,mean_evolutionary_distinctiveness,494.0,0.16597741534373123,weak 4 niche ecology,0,np.random.standard_normal
3% resolution,50,mean_evolutionary_distinctiveness,597.0,0.6958284390633942,weak 4 niche ecology,0,np.random.standard_normal
1% resolution,50,mean_evolutionary_distinctiveness,622.0,0.8810598365200165,weak 4 niche ecology,0,np.random.standard_normal
10% resolution,50,mean_evolutionary_distinctiveness,629.0,0.9346046719840639,weak 4 niche ecology,0,np.random.standard_normal
33% resolution,50,mean_pairwise_distance,0.0,7.556929455863566e-10,weak 4 niche ecology,0,np.random.standard_normal
3% resolution,50,mean_pairwise_distance,488.0,0.1489739508366709,weak 4 niche ecology,0,np.random.standard_normal
1% resolution,50,mean_pairwise_distance,618.0,0.8506893529466235,weak 4 niche ecology,0,np.random.standard_normal
10% resolution,50,mean_pairwise_distance,188.0,1.4303567613171629e-05,weak 4 niche ecology,0,np.random.standard_normal
33% resolution,50,num_ancestors,0.0,7.555220876380673e-10,weak 4 niche ecology,0,np.random.standard_normal
3% resolution,50,num_ancestors,484.5,0.13965170476396985,weak 4 niche ecology,0,np.random.standard_normal
1% resolution,50,num_ancestors,419.0,0.034914212940259044,weak 4 niche ecology,0,np.random.standard_normal
10% resolution,50,num_ancestors,455.0,0.07810217402586335,weak 4 niche ecology,0,np.random.standard_normal
3% resolution,50,colless_like_index,627.0,0.9192651438406544,4 niche ecology,2,np.random.exponential
10% resolution,50,colless_like_index,391.0,0.017334581738329847,4 niche ecology,2,np.random.exponential
33% resolution,50,colless_like_index,4.0,9.634403725281619e-10,4 niche ecology,2,np.random.exponential
1% resolution,50,colless_like_index,597.0,0.6958284390633942,4 niche ecology,2,np.random.exponential
3% resolution,50,mean_evolutionary_distinctiveness,630.0,0.9422839110260988,4 niche ecology,2,np.random.exponential
10% resolution,50,mean_evolutionary_distinctiveness,619.0,0.8582630586832802,4 niche ecology,2,np.random.exponential
33% resolution,50,mean_evolutionary_distinctiveness,572.0,0.5271975580152891,4 niche ecology,2,np.random.exponential
1% resolution,50,mean_evolutionary_distinctiveness,616.0,0.8355838689274765,4 niche ecology,2,np.random.exponential
3% resolution,50,mean_pairwise_distance,599.0,0.7101525415643333,4 niche ecology,2,np.random.exponential
10% resolution,50,mean_pairwise_distance,347.0,0.005042948789367611,4 niche ecology,2,np.random.exponential
33% resolution,50,mean_pairwise_distance,0.0,7.556929455863566e-10,4 niche ecology,2,np.random.exponential
1% resolution,50,mean_pairwise_distance,579.0,0.5722664037295826,4 niche ecology,2,np.random.exponential
3% resolution,50,num_ancestors,405.5,0.025114374035318854,4 niche ecology,2,np.random.exponential
10% resolution,50,num_ancestors,487.5,0.14757924620656257,4 niche ecology,2,np.random.exponential
33% resolution,50,num_ancestors,0.0,7.551804758280675e-10,4 niche ecology,2,np.random.exponential
1% resolution,50,num_ancestors,379.0,0.02019100169169335,4 niche ecology,2,np.random.exponential
1% resolution,50,colless_like_index,525.0,0.27748171276573774,8 niche ecology,2,np.random.exponential
3% resolution,50,colless_like_index,574.0,0.5398874509526412,8 niche ecology,2,np.random.exponential
33% resolution,50,colless_like_index,0.0,7.556929455863566e-10,8 niche ecology,2,np.random.exponential
10% resolution,50,colless_like_index,352.0,0.005851101819111798,8 niche ecology,2,np.random.exponential
1% resolution,50,mean_evolutionary_distinctiveness,631.0,0.9499685188719619,8 niche ecology,2,np.random.exponential
3% resolution,50,mean_evolutionary_distinctiveness,633.0,0.9653509884575846,8 niche ecology,2,np.random.exponential
33% resolution,50,mean_evolutionary_distinctiveness,608.0,0.7758190390045979,8 niche ecology,2,np.random.exponential
10% resolution,50,mean_evolutionary_distinctiveness,602.0,0.73183063851359,8 niche ecology,2,np.random.exponential
1% resolution,50,mean_pairwise_distance,450.0,0.0702973764824457,8 niche ecology,2,np.random.exponential
3% resolution,50,mean_pairwise_distance,524.0,0.27323322826893637,8 niche ecology,2,np.random.exponential
33% resolution,50,mean_pairwise_distance,0.0,7.556929455863566e-10,8 niche ecology,2,np.random.exponential
